Neighborhood,Block,Area,bldgclass
SoHo Tribeca CivicCenter LittleItaly,226,3595,V7
SoHo Tribeca CivicCenter LittleItaly,229,13090,V1
SoHo Tribeca CivicCenter LittleItaly,475,2500,V1
SoHo Tribeca CivicCenter LittleItaly,475,2500,V1
SoHo Tribeca CivicCenter LittleItaly,476,4332,V1
SoHo Tribeca CivicCenter LittleItaly,477,253,V1
SoHo Tribeca CivicCenter LittleItaly,477,1456,V1
SoHo Tribeca CivicCenter LittleItaly,477,1509,V1
SoHo Tribeca CivicCenter LittleItaly,477,1645,V1
SoHo Tribeca CivicCenter LittleItaly,477,1680,V1
SoHo Tribeca CivicCenter LittleItaly,477,1704,V1
SoHo Tribeca CivicCenter LittleItaly,477,1717,V1
SoHo Tribeca CivicCenter LittleItaly,477,2063,V1
SoHo Tribeca CivicCenter LittleItaly,477,4557,V1
SoHo Tribeca CivicCenter LittleItaly,479,55,V1
SoHo Tribeca CivicCenter LittleItaly,482,2508,V1
SoHo Tribeca CivicCenter LittleItaly,487,1600,V1
SoHo Tribeca CivicCenter LittleItaly,489,1300,V1
SoHo Tribeca CivicCenter LittleItaly,493,20110,V1
SoHo Tribeca CivicCenter LittleItaly,494,2562,V1
SoHo Tribeca CivicCenter LittleItaly,509,2025,V1
SoHo Tribeca CivicCenter LittleItaly,513,2525,V1
SoHo Tribeca CivicCenter LittleItaly,517,2498,V1
SoHo Tribeca CivicCenter LittleItaly,518,2500,V1
SoHo Tribeca CivicCenter LittleItaly,578,1900,V1
SoHo Tribeca CivicCenter LittleItaly,578,3803,V1
SoHo Tribeca CivicCenter LittleItaly,578,5715,V1
SoHo Tribeca CivicCenter LittleItaly,595,538,V1
West Village,524,14707,V1
West Village,528,40,V1
West Village,533,18591,V1
West Village,533,23704,V1
West Village,535,4393,V1
West Village,539,25,V1
West Village,542,12,V1
West Village,544,9835,V1
West Village,553,51,V1
West Village,571,546,V1
West Village,581,25000,V9
West Village,603,8166,V1
West Village,604,1152,V1
West Village,605,6880,V1
West Village,609,2581,V1
West Village,625,58,V1
West Village,625,2164,V1
West Village,632,2217,V1
West Village,636,3762,V1
West Village,641,1826,V1
West Village,645,2581,V1
West Village,651,278925,V9
